manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,engine_capacity,body_type,price_usd,up_counter
Subaru,Outback,automatic,silver,190000,2010,gasoline,gasoline,2.5,universal,10900.0,13
Subaru,Outback,automatic,blue,290000,2002,gasoline,gasoline,3.0,universal,5000.0,54
Subaru,Forester,automatic,red,402000,2001,gasoline,gasoline,2.5,suv,2800.0,72
Subaru,Impreza,mechanical,blue,10000,1999,gasoline,gasoline,3.0,sedan,9999.0,42
Subaru,Legacy,automatic,black,280000,2001,gasoline,gasoline,2.5,universal,2134.11,7
Subaru,Outback,automatic,silver,132449,2011,gasoline,gasoline,2.5,universal,14700.0,56
Subaru,Forester,automatic,black,318280,1998,gasoline,gasoline,2.5,universal,3000.0,147
Subaru,Legacy,automatic,silver,350000,2004,gasoline,gasoline,2.5,sedan,4500.0,29
Subaru,Outback,automatic,grey,179000,2010,gasoline,gasoline,2.5,universal,12900.0,33
Subaru,Forester,automatic,silver,571317,1999,gasoline,gasoline,2.5,universal,4200.0,11
Subaru,Forester,mechanical,other,280000,2003,gasoline,gasoline,2.0,suv,6900.0,6
Subaru,Tribeca,automatic,grey,256000,2008,gasoline,gasoline,3.6,suv,8350.0,61
Subaru,Forester,mechanical,other,321000,2002,gasoline,gasoline,2.0,suv,4300.0,2
Subaru,Justy,mechanical,red,49999,2001,gasoline,gasoline,1.3,hatchback,1666.0,94
Subaru,Outback,automatic,brown,154685,2011,gasoline,gasoline,2.5,universal,8600.0,34
Subaru,Outback,automatic,black,163219,2004,gasoline,gasoline,2.0,universal,7300.0,22
Subaru,Outback,automatic,other,318650,2005,gasoline,gasoline,3.0,universal,7587.97,166
Subaru,Impreza,mechanical,blue,191000,2005,gasoline,gasoline,2.0,sedan,10950.0,7
Subaru,Forester,automatic,silver,179000,2014,gasoline,gasoline,2.0,suv,12700.0,14
Subaru,Forester,automatic,black,159000,2013,gasoline,gasoline,2.0,suv,16500.0,34
Subaru,Outback,automatic,white,257495,2008,gasoline,gasoline,2.5,universal,8700.0,11
Subaru,Tribeca,automatic,silver,241402,2005,gasoline,gasoline,3.0,suv,7500.0,18
Subaru,Tribeca,automatic,black,188000,2006,gasoline,gasoline,3.0,suv,8650.0,25
Subaru,Forester,automatic,blue,240000,2001,gasoline,gasoline,2.5,universal,3500.0,42
Subaru,Legacy,automatic,green,249448,2002,gasoline,gasoline,2.5,universal,3800.0,44
Subaru,Tribeca,automatic,other,250000,2007,gasoline,gasoline,3.0,suv,7200.0,62
Subaru,Outback,automatic,green,417000,1997,gasoline,gasoline,2.0,universal,1850.0,23
Subaru,Outback,automatic,violet,377000,1999,gasoline,gasoline,2.5,universal,3800.0,10
Subaru,Impreza,mechanical,black,300000,1999,gasoline,gasoline,2.0,universal,3000.0,103
Subaru,Legacy,mechanical,black,270000,2004,gasoline,gasoline,2.0,sedan,6200.0,21
Subaru,Forester,mechanical,green,444444,1999,gasoline,gasoline,2.0,universal,3700.0,20
Subaru,Impreza,mechanical,violet,340000,1993,gasoline,gasoline,1.6,universal,2000.0,5
Subaru,Impreza,mechanical,silver,118000,2011,gasoline,gasoline,2.5,sedan,14950.0,132
Subaru,Impreza,automatic,black,246113,2008,gasoline,gasoline,1.5,hatchback,5350.0,11
Subaru,Outback,automatic,green,128748,2016,gasoline,gasoline,3.6,universal,17059.12,11
Subaru,Legacy,mechanical,red,100000,1994,gasoline,gasoline,2.0,sedan,1700.0,42
Subaru,Outback,automatic,blue,342790,1999,gasoline,gasoline,2.5,universal,3500.0,40
Subaru,Forester,mechanical,silver,390000,1997,gasoline,gasoline,2.0,suv,3000.0,28
Subaru,Forester,automatic,black,215000,2008,gasoline,gasoline,2.5,universal,8100.0,1
Subaru,Outback,mechanical,grey,288500,2006,gas,gasoline,2.5,universal,8500.0,2
Subaru,Tribeca,automatic,grey,225000,2005,gas,gasoline,3.0,suv,7500.0,330
Subaru,Outback,automatic,green,310000,2001,gasoline,gasoline,2.5,liftback,3300.0,1
Subaru,Forester,automatic,white,121000,2014,gasoline,gasoline,2.0,suv,14950.0,77
Subaru,Forester,automatic,blue,242000,2003,gasoline,gasoline,2.5,suv,4490.0,3
Subaru,Outback,mechanical,green,286,1998,gasoline,gasoline,2.5,universal,2650.0,2
Subaru,Legacy,automatic,grey,209000,2007,gasoline,gasoline,2.0,sedan,6950.0,5
Subaru,Legacy,mechanical,silver,195000,2006,gasoline,gasoline,3.0,sedan,8200.0,12
Subaru,Outback,automatic,black,126705,2014,gasoline,gasoline,2.5,universal,16500.0,1
Subaru,Outback,automatic,other,164153,2008,gasoline,gasoline,2.5,universal,8500.0,1
Subaru,Impreza,mechanical,blue,143000,2009,gasoline,gasoline,1.5,hatchback,6450.0,8
Subaru,Outback,mechanical,white,463491,2002,gasoline,gasoline,2.5,universal,3150.0,15
Subaru,Legacy,mechanical,green,321869,1998,gasoline,gasoline,2.2,universal,1900.0,27
Subaru,Legacy,mechanical,other,250000,2005,gasoline,gasoline,2.0,sedan,4899.0,22
Subaru,Forester,mechanical,black,260000,1999,gasoline,gasoline,2.5,universal,2500.0,3
Subaru,Forester,mechanical,green,300000,1999,gasoline,gasoline,2.0,suv,1700.0,11
Subaru,Forester,automatic,red,358047,1999,gasoline,gasoline,2.5,universal,1800.0,80
Subaru,Forester,mechanical,blue,296000,2003,gas,gasoline,2.0,universal,6150.0,6
Subaru,XV,automatic,orange,183000,2012,gasoline,gasoline,2.0,suv,12900.0,21
Subaru,Legacy,automatic,red,116000,2010,gasoline,gasoline,2.5,sedan,7250.0,35
Subaru,Outback,automatic,brown,180000,2008,gasoline,gasoline,2.5,universal,9400.0,45
Subaru,Forester,mechanical,black,343455,2001,gasoline,gasoline,2.0,universal,3300.0,1
Subaru,Legacy,automatic,white,202777,2009,gasoline,gasoline,2.5,sedan,8200.0,11
Subaru,Forester,automatic,black,230000,2001,gas,gasoline,2.5,suv,4200.0,27
Subaru,Justy,mechanical,red,80000,1992,gasoline,gasoline,1.2,hatchback,2100.0,13
Subaru,Legacy,automatic,green,408263,1999,gasoline,gasoline,2.5,universal,1499.0,23
Subaru,Outback,automatic,black,193,2010,gasoline,gasoline,2.5,universal,9800.0,4
Subaru,Legacy,automatic,silver,300000,1998,gasoline,gasoline,2.5,universal,2500.0,50
Subaru,Outback,mechanical,green,285000,2001,gasoline,gasoline,2.5,universal,3650.0,3
Subaru,Impreza,mechanical,red,363500,1994,gasoline,gasoline,2.0,universal,1400.0,107
Subaru,Legacy,mechanical,silver,127138,2005,gasoline,gasoline,2.5,sedan,5400.0,32
Subaru,XV,automatic,grey,88000,2014,gasoline,gasoline,2.0,suv,12950.0,1
Subaru,Forester,automatic,black,128000,2012,gasoline,gasoline,2.0,suv,15490.0,17
Subaru,Outback,automatic,blue,177000,2010,gasoline,gasoline,2.5,universal,13500.0,35
Subaru,Forester,mechanical,silver,350000,2000,gasoline,gasoline,2.0,universal,2000.0,92
Subaru,Forester,mechanical,grey,173000,2005,gasoline,gasoline,2.5,suv,7500.0,23
Subaru,Forester,automatic,blue,280000,2004,gasoline,gasoline,2.5,suv,5800.0,5
Subaru,Forester,mechanical,green,270000,1998,gasoline,gasoline,2.5,suv,2750.0,3
Subaru,Outback,automatic,other,310000,1996,gasoline,gasoline,2.0,universal,3299.0,11
Subaru,Legacy,mechanical,green,450000,1996,gasoline,gasoline,2.0,universal,1400.0,1
Subaru,Tribeca,automatic,blue,179000,2008,gasoline,gasoline,3.6,suv,9900.0,8
Subaru,Forester,automatic,silver,175000,2013,gasoline,gasoline,2.5,universal,15900.0,8
Subaru,Impreza,mechanical,blue,130000,2008,gasoline,gasoline,2.5,hatchback,13500.0,14
Subaru,Forester,automatic,silver,305000,1999,gasoline,gasoline,2.5,suv,3750.0,2
Subaru,Legacy,automatic,silver,294000,1999,gasoline,gasoline,2.0,universal,3400.0,2
Subaru,Outback,mechanical,violet,353000,2000,gasoline,gasoline,2.5,universal,4250.0,3
Subaru,Forester,mechanical,black,400000,2003,gasoline,gasoline,2.0,universal,5500.0,3
Subaru,Impreza,mechanical,green,329786,2001,gasoline,gasoline,1.6,universal,4100.0,27
Subaru,Impreza,mechanical,red,230000,2003,gasoline,gasoline,2.0,universal,7000.0,5
Subaru,Forester,mechanical,blue,160000,2010,gasoline,gasoline,2.5,suv,12600.0,12
Subaru,Tribeca,automatic,yellow,279000,2008,gasoline,gasoline,3.6,suv,5400.0,34
Subaru,Impreza,automatic,silver,80000,2016,gasoline,gasoline,2.0,sedan,14500.0,1
Subaru,Legacy,automatic,blue,394289,2002,gasoline,gasoline,2.5,universal,3900.0,91
Subaru,Outback,automatic,blue,256000,2012,gasoline,gasoline,2.5,universal,14227.45,2
Subaru,Outback,automatic,silver,160000,2011,gasoline,gasoline,2.5,suv,17000.0,9
Subaru,Forester,mechanical,black,218000,1997,gasoline,gasoline,2.5,suv,3750.0,10
Subaru,Forester,automatic,silver,273588,2006,gasoline,gasoline,2.5,universal,6000.0,12
Subaru,Forester,mechanical,black,103975,2011,gasoline,gasoline,2.5,suv,15500.0,7
Subaru,Legacy,mechanical,blue,330000,1995,gasoline,gasoline,2.2,sedan,1900.0,11
Subaru,Impreza,automatic,black,205328,2008,gasoline,gasoline,2.5,hatchback,6499.0,17
Subaru,Outback,automatic,blue,353624,2001,gasoline,gasoline,3.0,universal,5250.0,19
Subaru,Justy,mechanical,silver,170000,2008,gasoline,gasoline,1.0,minivan,5199.0,5
Subaru,Outback,automatic,other,370000,2004,gasoline,gasoline,2.5,universal,6000.0,1
Subaru,Forester,automatic,black,233000,2000,gasoline,gasoline,2.0,universal,6800.0,23
Subaru,Impreza,mechanical,green,354056,1998,gasoline,gasoline,2.2,universal,1900.0,7
Subaru,Forester,automatic,black,160000,2010,gasoline,gasoline,2.5,suv,8650.0,4
Subaru,Legacy,mechanical,silver,295000,1996,gasoline,gasoline,2.0,universal,1565.02,10
Subaru,Outback,automatic,grey,100000,2012,gasoline,gasoline,2.5,universal,16300.0,5
Subaru,Impreza,mechanical,green,180000,1998,gasoline,gasoline,2.0,sedan,6900.0,15
Subaru,Outback,automatic,green,60000,2001,gasoline,gasoline,2.5,universal,2900.0,8
Subaru,Legacy,mechanical,silver,185075,2003,gasoline,gasoline,2.5,sedan,7000.0,17
Subaru,Outback,automatic,blue,405555,2001,gasoline,gasoline,2.5,universal,4990.0,28
Subaru,Impreza,mechanical,other,185000,2008,gasoline,gasoline,1.5,sedan,6300.0,4
Subaru,Legacy,automatic,red,152888,2009,gasoline,gasoline,2.5,sedan,11000.0,8
Subaru,Impreza,mechanical,silver,193000,2009,gasoline,gasoline,1.5,hatchback,7000.0,10
Subaru,Forester,mechanical,green,197,1999,gasoline,gasoline,2.0,universal,3000.0,1
Subaru,Forester,automatic,blue,162544,2010,gas,gasoline,2.5,suv,9700.0,2
Subaru,Forester,mechanical,blue,46671,2017,gasoline,gasoline,2.5,suv,8790.0,4
Subaru,Outback,automatic,red,56800,2015,gasoline,gasoline,2.5,universal,23400.0,22
Subaru,Legacy,automatic,black,260000,2007,gasoline,gasoline,3.0,sedan,6800.0,7
Subaru,Justy,mechanical,black,150000,2010,gasoline,gasoline,1.0,hatchback,6450.0,56
Subaru,Legacy,automatic,green,334567,1992,gasoline,gasoline,2.2,universal,1600.0,1
Subaru,Leone,mechanical,blue,350000,1987,gasoline,gasoline,1.8,universal,1500.0,7
Subaru,Legacy,mechanical,silver,388000,1996,gasoline,gasoline,2.0,universal,2300.0,7
Subaru,Justy,mechanical,silver,96370,2009,gasoline,gasoline,1.0,hatchback,5500.0,15
Subaru,Legacy,automatic,grey,300000,2007,gasoline,gasoline,2.0,universal,5999.0,14
Subaru,Impreza,automatic,white,280000,2007,gasoline,gasoline,2.0,sedan,9000.0,41
Subaru,WRX,automatic,white,69500,2014,gasoline,gasoline,2.0,sedan,24900.0,54
Subaru,Outback,automatic,white,237000,2004,gasoline,gasoline,3.0,universal,6150.0,40
Subaru,Forester,automatic,silver,289740,2001,gas,gasoline,2.5,universal,4200.0,13
Subaru,Legacy,automatic,silver,164000,2001,gasoline,gasoline,2.0,sedan,3700.0,1
Subaru,Impreza,automatic,red,280000,1997,gasoline,gasoline,2.0,sedan,1500.0,1
Subaru,XV,automatic,grey,95000,2012,gasoline,gasoline,2.0,suv,12999.0,20
Subaru,Impreza,automatic,grey,95000,2012,gasoline,gasoline,2.0,hatchback,12999.0,25
Subaru,Forester,mechanical,grey,193000,2008,diesel,diesel,2.0,suv,9481.65,3
Subaru,Legacy,mechanical,black,225000,2006,gasoline,gasoline,2.0,sedan,6800.0,8
Subaru,Outback,automatic,silver,306000,2007,gasoline,gasoline,2.5,universal,7700.0,22
Subaru,Outback,automatic,black,362102,1997,gasoline,gasoline,2.5,universal,2800.0,3
Subaru,Forester,automatic,white,80467,2015,gasoline,gasoline,2.0,suv,22850.0,2
Subaru,Forester,automatic,white,300000,1998,gasoline,gasoline,2.5,universal,4990.0,10
Subaru,Legacy,automatic,silver,270370,2006,gasoline,gasoline,2.5,sedan,7000.0,33
Subaru,XV,automatic,red,100000,2012,gasoline,gasoline,1.6,suv,14000.0,15
Subaru,Impreza,mechanical,white,236000,1999,gasoline,gasoline,2.0,universal,3599.0,4
Subaru,Legacy,automatic,blue,350000,2004,gasoline,gasoline,2.5,sedan,4500.0,7
Subaru,Outback,automatic,other,370149,1996,gasoline,gasoline,2.0,universal,3290.0,11
Subaru,Forester,automatic,green,330000,1998,gasoline,gasoline,2.0,universal,4200.0,3
Subaru,Tribeca,automatic,grey,252000,2007,gasoline,gasoline,3.0,suv,8200.0,1
Subaru,Legacy,mechanical,other,343444,1996,gasoline,gasoline,2.0,universal,1800.0,10
Subaru,Legacy,mechanical,green,212000,1994,gasoline,gasoline,2.2,universal,2000.0,8
Subaru,Outback,automatic,other,50000,2009,gasoline,gasoline,2.5,suv,14300.0,5
Subaru,Impreza,mechanical,silver,295000,1998,gasoline,gasoline,2.0,sedan,1400.0,3
Subaru,Forester,automatic,other,116000,2015,gasoline,gasoline,2.0,suv,18900.0,4
Subaru,Impreza,mechanical,black,182000,2007,gasoline,gasoline,1.5,sedan,5500.0,8
Subaru,Forester,mechanical,red,226800,2001,gasoline,gasoline,2.5,universal,3799.0,20
Subaru,Impreza,automatic,white,339572,1997,gasoline,gasoline,2.2,universal,1600.0,19
Subaru,Tribeca,automatic,other,104000,2012,gasoline,gasoline,3.6,suv,13500.0,1
Subaru,Outback,automatic,black,187000,2011,gasoline,gasoline,2.5,universal,12300.0,8
Subaru,Forester,automatic,grey,92300,2012,gas,gasoline,2.5,suv,14499.0,41
Subaru,Forester,automatic,black,135000,2014,gasoline,gasoline,2.5,suv,19500.0,16
Subaru,XV,mechanical,blue,76000,2015,diesel,diesel,2.0,hatchback,14000.0,3
Subaru,XV,mechanical,grey,72000,2014,gasoline,gasoline,2.0,suv,14938.82,1
